GeneID,GeneLength
EG10001,0.588889
EG10002,0.547826
EG10003,0.611549
EG10004,0.645373
EG10005,0.526967
EG10006,0.511559
EG10007,0.541144
EG10008,0.505007
EG10011,0.517375
EG10012,0.566783
EG10013,0.474679
EG10014,0.506744
EG10015,0.648915
EG10016,0.477302
EG10017,0.613169
EG10018,0.506955
EG10020,0.635193
EG10021,0.645768
EG10022,0.701916
EG10023,0.697878
EG10024,0.662913
EG10025,0.638141
EG10026,0.513529
EG10027,0.628429
EG10028,0.601889
EG10029,0.499531
EG10030,0.634731
EG10031,0.592676
EG10032,0.629457
EG10033,0.491143
EG10034,0.590650
EG10035,0.594444
EG10036,0.508065
EG10037,0.522273
EG10039,0.630928
EG10040,0.481481
EG10041,0.612319
EG10042,0.479532
EG10043,0.572200
EG10044,0.584071
EG10045,0.613569
EG10046,0.521490
EG10047,0.650794
EG10048,0.614472
EG10049,0.500385
EG10050,0.538667
EG10051,0.634058
EG10052,0.512309
EG10054,0.470990
EG10056,0.532770
EG10057,0.486869
EG10058,0.512211
EG10060,0.506329
EG10061,0.683403
EG10062,0.532306
EG10063,0.503003
EG10064,0.486486
EG10065,0.521393
EG10066,0.552007
EG10067,0.654726
EG10068,0.572917
EG10069,0.585075
EG10070,0.675159
EG10071,0.618224
EG10072,0.464879
EG10073,0.599688
EG10074,0.718090
EG10075,0.696133
EG10076,0.545455
EG10077,0.429792
EG10078,0.599440
EG10079,0.566002
EG10080,0.683859
EG10081,0.701149
EG10082,0.502857
EG10083,0.584071
EG10084,0.589520
EG10085,0.496842
EG10087,0.470821
EG10088,0.646739
EG10089,0.500000
EG10091,0.523666
EG10092,0.569369
EG10093,0.474946
EG10094,0.608137
EG10095,0.588727
EG10096,0.567590
EG10097,0.603497
EG10098,0.616083
EG10099,0.629902
EG10100,0.842857
EG10101,0.571222
EG10102,0.633333
EG10103,0.709130
EG10104,0.662037
EG10105,0.689139
EG10106,0.325459
EG10107,0.647528
EG10108,0.564756
EG10109,0.585278
EG10110,0.544467
EG10111,0.608844
EG10112,0.601770
EG10113,0.595388
EG10115,0.490948
EG10117,0.632558
EG10118,0.614793
EG10119,0.560847
EG10120,0.587021
EG10121,0.514286
EG10122,0.622568
EG10123,0.534161
EG10124,0.515853
EG10125,0.509434
EG10126,0.585366
EG10127,0.560652
EG10128,0.501333
EG10129,0.572464
EG10130,0.494078
EG10131,0.494413
EG10133,0.484730
EG10134,0.588338
EG10135,0.617008
EG10136,0.571429
EG10137,0.603390
EG10138,0.613757
EG10139,0.573427
EG10140,0.666667
EG10141,0.491538
EG10142,0.615385
EG10143,0.526690
EG10144,0.478936
EG10146,0.517048
EG10147,0.474286
EG10149,0.547619
EG10150,0.569231
EG10151,0.536434
EG10152,0.545798
EG10153,0.572816
EG10154,0.541333
EG10155,0.563253
EG10156,0.595520
EG10157,0.580420
EG10158,0.631410
EG10159,0.680784
EG10160,0.559671
EG10163,0.560408
EG10164,0.710900
EG10165,0.666667
EG10166,0.779343
EG10167,0.508072
EG10168,0.502924
EG10169,0.539877
EG10170,0.622693
EG10172,0.708098
EG10173,0.554493
EG10174,0.615789
EG10175,0.471338
EG10176,0.475758
EG10177,0.529870
EG10178,0.662447
EG10179,0.703815
EG10180,0.611382
EG10181,0.369697
EG10182,0.583614
EG10183,0.581056
EG10184,0.598974
EG10185,0.491749
EG10186,0.602860
EG10187,0.613139
EG10188,0.582242
EG10189,0.527891
EG10190,0.458844
EG10191,0.593333
EG10192,0.676955
EG10193,0.618421
EG10194,0.589636
EG10195,0.650934
EG10196,0.621934
EG10197,0.510791
EG10200,0.588694
EG10201,0.605611
EG10202,0.573222
EG10203,0.518703
EG10204,0.544803
EG10205,0.643914
EG10206,0.615572
EG10207,0.654545
EG10208,0.549645
EG10209,0.688485
EG10210,0.561863
EG10211,0.500352
EG10212,0.617791
EG10213,0.546119
EG10214,0.766558
EG10215,0.550265
EG10216,0.545455
EG10217,0.627322
EG10218,0.506787
EG10219,0.539683
EG10220,0.606209
EG10221,0.723077
EG10222,0.680556
EG10223,0.645586
EG10224,0.785908
EG10225,0.553360
EG10226,0.534314
EG10228,0.519481
EG10229,0.578313
EG10230,0.692982
EG10231,0.681818
EG10232,0.503067
EG10234,0.516204
EG10235,0.636752
EG10236,0.557910
EG10237,0.590786
EG10238,0.612690
EG10239,0.525773
EG10240,0.686118
EG10241,0.663537
EG10242,0.574024
EG10243,0.527322
EG10244,0.607407
EG10245,0.677019
EG10246,0.550405
EG10247,0.540682
EG10248,0.589552
EG10249,0.559819
EG10251,0.653509
EG10254,0.642276
EG10255,0.507157
EG10256,0.579439
EG10257,0.614790
EG10258,0.660508
EG10259,0.567604
EG10260,0.503497
EG10261,0.549320
EG10263,0.501552
EG10264,0.507470
EG10265,0.716776
EG10267,0.511433
EG10269,0.471545
EG10270,0.640177
EG10271,0.609524
EG10272,0.755869
EG10273,0.535645
EG10274,0.620803
EG10275,0.764331
EG10276,0.608889
EG10277,0.660377
EG10278,0.563574
EG10279,0.499543
EG10280,0.639821
EG10281,0.641667
EG10282,0.629630
EG10283,0.584585
EG10284,0.516129
EG10286,0.483441
EG10287,0.520487
EG10289,0.505747
EG10290,0.575521
EG10291,0.417625
EG10292,0.637317
EG10293,0.532798
EG10294,0.551724
EG10295,0.495098
EG10296,0.630846
EG10297,0.492063
EG10298,0.527694
EG10300,0.578561
EG10301,0.507937
EG10302,0.566845
EG10303,0.524458
EG10304,0.496241
EG10305,0.478114
EG10306,0.492237
EG10307,0.540630
EG10308,0.531876
EG10309,0.580431
EG10310,0.468320
EG10311,0.512704
EG10312,0.469012
EG10313,0.470810
EG10315,0.560354
EG10316,0.653021
EG10317,0.606061
EG10318,0.696798
EG10319,0.504318
EG10320,0.547009
EG10321,0.470274
EG10322,0.533333
EG10323,0.561194
EG10324,0.642512
EG10325,0.730412
EG10326,0.566667
EG10327,0.609929
EG10328,0.618224
EG10329,0.479012
EG10330,0.478718
EG10331,0.606803
EG10332,0.676768
EG10333,0.488889
EG10334,0.521368
EG10335,0.745520
EG10336,0.596927
EG10337,0.555911
EG10338,0.591045
EG10339,0.590657
EG10340,0.487294
EG10341,0.561404
EG10342,0.601685
EG10343,0.509213
EG10344,0.586345
EG10345,0.523135
EG10346,0.627845
EG10347,0.524306
EG10349,0.490991
EG10350,0.504581
EG10351,0.468233
EG10353,0.538251
EG10355,0.543735
EG10356,0.601093
EG10357,0.551305
EG10358,0.659544
EG10359,0.666667
EG10360,0.665721
EG10361,0.524590
EG10362,0.690265
EG10363,0.604003
EG10364,0.618217
EG10365,0.501441
EG10366,0.651385
EG10367,0.664659
EG10368,0.598039
EG10369,0.623170
EG10370,0.650581
EG10371,0.600000
EG10372,0.479167
EG10374,0.523236
EG10375,0.597884
EG10376,0.589744
EG10377,0.615063
EG10378,0.591678
EG10379,0.591049
EG10380,0.540850
EG10381,0.595745
EG10382,0.592350
EG10383,0.629787
EG10384,0.643068
EG10385,0.580142
EG10386,0.607764
EG10387,0.520000
EG10388,0.506061
EG10389,0.591978
EG10390,0.542943
EG10391,0.513198
EG10392,0.457143
EG10394,0.555113
EG10395,0.678899
EG10396,0.475177
EG10397,0.580024
EG10398,0.470510
EG10399,0.438254
EG10401,0.568065
EG10402,0.624611
EG10403,0.550101
EG10404,0.606061
EG10405,0.493151
EG10406,0.532338
EG10407,0.600282
EG10408,0.569378
EG10409,0.625000
EG10410,0.730435
EG10411,0.608387
EG10412,0.656319
EG10413,0.651852
EG10414,0.444444
EG10415,0.683438
EG10416,0.616162
EG10417,0.697674
EG10418,0.637123
EG10419,0.511041
EG10420,0.615970
EG10421,0.564417
EG10422,0.586207
EG10423,0.603501
EG10424,0.587164
EG10425,0.515625
EG10426,0.660827
EG10427,0.582339
EG10428,0.566154
EG10429,0.479830
EG10430,0.577598
EG10431,0.533749
EG10432,0.588603
EG10433,0.651438
EG10434,0.653300
EG10435,0.608955
EG10436,0.595238
EG10437,0.605777
EG10438,0.757282
EG10439,0.730594
EG10440,0.753333
EG10441,0.526316
EG10442,0.561798
EG10443,0.520030
EG10444,0.701897
EG10445,0.522472
EG10446,0.646125
EG10447,0.571648
EG10448,0.617761
EG10449,0.666667
EG10450,0.524535
EG10451,0.558824
EG10452,0.617571
EG10453,0.676078
EG10454,0.546125
EG10455,0.720165
EG10456,0.518892
EG10457,0.826087
EG10458,0.589937
EG10459,0.625676
EG10460,0.639427
EG10461,0.683733
EG10462,0.623583
EG10463,0.555789
EG10464,0.564604
EG10465,0.724771
EG10466,0.776557
EG10467,0.820513
EG10469,0.500557
EG10478,0.504094
EG10480,0.510417
EG10482,0.539970
EG10484,0.630011
EG10485,0.534799
EG10486,0.454545
EG10487,0.484669
EG10488,0.520231
EG10489,0.773781
EG10490,0.693512
EG10491,0.671515
EG10492,0.626198
EG10493,0.607120
EG10494,0.625222
EG10495,0.616531
EG10496,0.571583
EG10497,0.546237
EG10499,0.500000
EG10500,0.608696
EG10501,0.727273
EG10502,0.824742
EG10503,0.539150
EG10504,0.931507
EG10505,0.614291
EG10506,0.526703
EG10507,0.487973
EG10508,0.566667
EG10509,0.469496
EG10510,0.553877
EG10511,0.586887
EG10512,0.594820
EG10516,0.478957
EG10517,0.595870
EG10518,0.563743
EG10519,0.484605
EG10520,0.502347
EG10521,0.520666
EG10522,0.645112
EG10523,0.593674
EG10525,0.574331
EG10527,0.482602
EG10528,0.530947
EG10529,0.601111
EG10530,0.666667
EG10531,0.467725
EG10532,0.625629
EG10533,0.683087
EG10534,0.624008
