GeneID,GeneLength
EG10001,0.612963
EG10002,0.544928
EG10003,0.601050
EG10004,0.579853
EG10005,0.558798
EG10006,0.489187
EG10007,0.569038
EG10008,0.505007
EG10011,0.476190
EG10012,0.549361
EG10013,0.526077
EG10014,0.500321
EG10015,0.652860
EG10016,0.487678
EG10017,0.600823
EG10018,0.517259
EG10020,0.652361
EG10021,0.618600
EG10022,0.637548
EG10023,0.621723
EG10024,0.626126
EG10025,0.515584
EG10026,0.497409
EG10027,0.581879
EG10028,0.469636
EG10029,0.512676
EG10030,0.514970
EG10031,0.529148
EG10032,0.595349
EG10033,0.512077
EG10034,0.560243
EG10035,0.541667
EG10036,0.493280
EG10037,0.500768
EG10039,0.534708
EG10040,0.500882
EG10041,0.630435
EG10042,0.512281
EG10043,0.537112
EG10044,0.542773
EG10045,0.546706
EG10046,0.613181
EG10047,0.687831
EG10048,0.548043
EG10049,0.472671
EG10050,0.520000
EG10051,0.507246
EG10052,0.489687
EG10054,0.568828
EG10056,0.496124
EG10057,0.488889
EG10058,0.497690
EG10060,0.462447
EG10061,0.616457
EG10062,0.534874
EG10063,0.486486
EG10064,0.517375
EG10065,0.545274
EG10066,0.499590
EG10067,0.583085
EG10068,0.617560
EG10069,0.495522
EG10070,0.552017
EG10071,0.567474
EG10072,0.564496
EG10073,0.618380
EG10074,0.642792
EG10075,0.618785
EG10076,0.548090
EG10077,0.581197
EG10078,0.612512
EG10079,0.588794
EG10080,0.492837
EG10081,0.563218
EG10082,0.636190
EG10083,0.628319
EG10084,0.537118
EG10085,0.510877
EG10087,0.526212
EG10088,0.554348
EG10089,0.507246
EG10091,0.598187
EG10092,0.580180
EG10093,0.588235
EG10094,0.441113
EG10095,0.591510
EG10096,0.555835
EG10097,0.623801
EG10098,0.574578
EG10099,0.580882
EG10100,0.619048
EG10101,0.585683
EG10102,0.625000
EG10103,0.632696
EG10104,0.655093
EG10105,0.569288
EG10106,0.472441
EG10107,0.681021
EG10108,0.450106
EG10109,0.592460
EG10110,0.502376
EG10111,0.523810
EG10112,0.535890
EG10113,0.561845
EG10115,0.536741
EG10117,0.564341
EG10118,0.603266
EG10119,0.587302
EG10120,0.404130
EG10121,0.569697
EG10122,0.461738
EG10123,0.598344
EG10124,0.544987
EG10125,0.685535
EG10126,0.520325
EG10127,0.523955
EG10128,0.512000
EG10129,0.536232
EG10130,0.565144
EG10131,0.489758
EG10133,0.474334
EG10134,0.558747
EG10135,0.535692
EG10136,0.613398
EG10137,0.562712
EG10138,0.552910
EG10139,0.561772
EG10140,0.585670
EG10141,0.515085
EG10142,0.455840
EG10143,0.495848
EG10144,0.499630
EG10146,0.516031
EG10147,0.506667
EG10149,0.511905
EG10150,0.507692
EG10151,0.570543
EG10152,0.481586
EG10153,0.555016
EG10154,0.664000
EG10155,0.521084
EG10156,0.563022
EG10157,0.536908
EG10158,0.637821
EG10159,0.621176
EG10160,0.549383
EG10163,0.414847
EG10164,0.672986
EG10165,0.513725
EG10166,0.666667
EG10167,0.511871
EG10168,0.456140
EG10169,0.498978
EG10170,0.547311
EG10172,0.625235
EG10173,0.557043
EG10174,0.543860
EG10175,0.475584
EG10176,0.503030
EG10177,0.498701
EG10178,0.635021
EG10179,0.658635
EG10180,0.640650
EG10181,0.587879
EG10182,0.536476
EG10183,0.449909
EG10184,0.578462
EG10185,0.495050
EG10186,0.490649
EG10187,0.635036
EG10188,0.553130
EG10189,0.497959
EG10190,0.552248
EG10191,0.535556
EG10192,0.590535
EG10193,0.539474
EG10194,0.501401
EG10195,0.546706
EG10196,0.614719
EG10197,0.527578
EG10200,0.497076
EG10201,0.567657
EG10202,0.490934
EG10203,0.520366
EG10204,0.566308
EG10205,0.582480
EG10206,0.618005
EG10207,0.530909
EG10208,0.468085
EG10209,0.601212
EG10210,0.541485
EG10211,0.515856
EG10212,0.622678
EG10213,0.593607
EG10214,0.575461
EG10215,0.596825
EG10216,0.539394
EG10217,0.616393
EG10218,0.654600
EG10219,0.470144
EG10220,0.562092
EG10221,0.587179
EG10222,0.519444
EG10223,0.706192
EG10224,0.715447
EG10225,0.501976
EG10226,0.602941
EG10228,0.623377
EG10229,0.640562
EG10230,0.649123
EG10231,0.666667
EG10232,0.498978
EG10234,0.500000
EG10235,0.599715
EG10236,0.526836
EG10237,0.531165
EG10238,0.555843
EG10239,0.532646
EG10240,0.606543
EG10241,0.686489
EG10242,0.563124
EG10243,0.560109
EG10244,0.548148
EG10245,0.709110
EG10246,0.543046
EG10247,0.545932
EG10248,0.523632
EG10249,0.552295
EG10251,0.587719
EG10254,0.439024
EG10255,0.568507
EG10256,0.420561
EG10257,0.525386
EG10258,0.617398
EG10259,0.506024
EG10260,0.519814
EG10261,0.518707
EG10263,0.511484
EG10264,0.495106
EG10265,0.653595
EG10267,0.504992
EG10269,0.597191
EG10270,0.549669
EG10271,0.579592
EG10272,0.699531
EG10273,0.612717
EG10274,0.525799
EG10275,0.505308
EG10276,0.672593
EG10277,0.677149
EG10278,0.481100
EG10279,0.494977
EG10280,0.632364
EG10281,0.525000
EG10282,0.548148
EG10283,0.526527
EG10284,0.606452
EG10286,0.483441
EG10287,0.518272
EG10289,0.499478
EG10290,0.533854
EG10291,0.563218
EG10292,0.463312
EG10293,0.500669
EG10294,0.572623
EG10295,0.534314
EG10296,0.563184
EG10297,0.500882
EG10298,0.513595
EG10300,0.531571
EG10301,0.494468
EG10302,0.552585
EG10303,0.478064
EG10304,0.528822
EG10305,0.520763
EG10306,0.480365
