GeneID,GeneLength
EG10001,0.581481
EG10002,0.585507
EG10003,0.530184
EG10004,0.547093
EG10005,0.650752
EG10006,0.499627
EG10007,0.543933
EG10008,0.476395
EG10011,0.751609
EG10012,0.613240
EG10013,0.637944
EG10014,0.514451
EG10015,0.775148
EG10016,0.518807
EG10017,0.656379
EG10018,0.555384
EG10020,0.675250
EG10021,0.614420
EG10022,0.622222
EG10023,0.637953
EG10024,0.739489
EG10025,0.649762
EG10026,0.500864
EG10027,0.731505
EG10028,0.461538
EG10029,0.478873
EG10030,0.592814
EG10031,0.675635
EG10032,0.660465
EG10033,0.621578
EG10034,0.640821
EG10035,0.683333
EG10036,0.545699
EG10037,0.525346
EG10039,0.717526
EG10040,0.562610
EG10041,0.601449
EG10042,0.596491
EG10043,0.496626
EG10044,0.790560
EG10045,0.607670
EG10046,0.508118
EG10047,0.582011
EG10048,0.557533
EG10049,0.464973
EG10050,0.496000
EG10051,0.692029
EG10052,0.513639
EG10054,0.468714
EG10056,0.474982
EG10057,0.482828
EG10058,0.496370
EG10060,0.489451
EG10061,0.747559
EG10062,0.669234
EG10063,0.575075
EG10064,0.537967
EG10065,0.569154
EG10066,0.674857
EG10067,0.678607
EG10068,0.778274
EG10069,0.579104
EG10070,0.687898
EG10071,0.702422
EG10072,0.648787
EG10073,0.669782
EG10074,0.637282
EG10075,0.662983
EG10076,0.677207
EG10077,0.598291
EG10078,0.640523
EG10079,0.678063
EG10080,0.574976
EG10081,0.643678
EG10082,0.655238
EG10083,0.522124
EG10084,0.653566
EG10085,0.506667
EG10087,0.619189
EG10088,0.710145
EG10089,0.498792
EG10091,0.729104
EG10092,0.640240
EG10093,0.636166
EG10094,0.703783
EG10095,0.588727
EG10096,0.666667
EG10097,0.689227
EG10098,0.715953
EG10099,0.732843
EG10100,0.719048
EG10101,0.697035
EG10102,0.891667
EG10103,0.713376
EG10104,0.706019
EG10105,0.584270
EG10106,0.498688
EG10107,0.725678
EG10108,0.721868
EG10109,0.612807
EG10110,0.577054
EG10111,0.608844
EG10112,0.556539
EG10113,0.737945
EG10115,0.510117
EG10117,0.640310
EG10118,0.643612
EG10119,0.671958
EG10120,0.548673
EG10121,0.635498
EG10122,0.583658
EG10123,0.592133
EG10124,0.538132
EG10125,0.716981
EG10126,0.631978
EG10127,0.593272
EG10128,0.586667
EG10129,0.637681
EG10130,0.626058
EG10131,0.515829
EG10133,0.512021
EG10134,0.710183
EG10135,0.647424
EG10136,0.595642
EG10137,0.711864
EG10138,0.526455
EG10139,0.629371
EG10140,0.573209
EG10141,0.485651
EG10142,0.581197
EG10143,0.481613
EG10144,0.498152
EG10146,0.498728
EG10147,0.510476
EG10149,0.591270
EG10150,0.615385
EG10151,0.579845
EG10152,0.504249
EG10153,0.631068
EG10154,0.565333
EG10155,0.543173
EG10156,0.641195
EG10157,0.683761
EG10158,0.669872
EG10159,0.644706
EG10160,0.603909
EG10163,0.585153
EG10164,0.657188
EG10165,0.639216
EG10166,0.629108
EG10167,0.521368
EG10168,0.619883
EG10169,0.695297
EG10170,0.625049
EG10172,0.621469
EG10173,0.544296
EG10174,0.629825
EG10175,0.577495
EG10176,0.527273
EG10177,0.490043
EG10178,0.713080
EG10179,0.778112
EG10180,0.721951
EG10181,0.606061
EG10182,0.751964
EG10183,0.493625
EG10184,0.658462
EG10185,0.508251
EG10186,0.510451
EG10187,0.722628
EG10188,0.640466
EG10189,0.536054
EG10190,0.500876
EG10191,0.536667
EG10192,0.818930
EG10193,0.695175
EG10194,0.519608
EG10195,0.525074
EG10196,0.670996
EG10197,0.515588
EG10200,0.551657
EG10201,0.792079
EG10202,0.528591
EG10203,0.596841
EG10204,0.535245
EG10205,0.693970
EG10206,0.698297
EG10207,0.683636
EG10208,0.583333
EG10209,0.620606
EG10210,0.570597
EG10211,0.524313
EG10212,0.624633
EG10213,0.529680
EG10214,0.671010
EG10215,0.658201
EG10216,0.645455
EG10217,0.640437
EG10218,0.527903
EG10219,0.565382
EG10220,0.619281
EG10221,0.666667
EG10222,0.741667
EG10223,0.606061
EG10224,0.710027
EG10225,0.566535
EG10226,0.642157
EG10228,0.510823
EG10229,0.676707
EG10230,0.741228
EG10231,0.724942
EG10232,0.506339
EG10234,0.493056
EG10235,0.623932
EG10236,0.596045
EG10237,0.620596
EG10238,0.613839
EG10239,0.621993
EG10240,0.740937
EG10241,0.728221
EG10242,0.683015
EG10243,0.710383
EG10244,0.666667
EG10245,0.633540
EG10246,0.644592
EG10247,0.666667
EG10248,0.654229
EG10249,0.613995
EG10251,0.649123
EG10254,0.502033
EG10255,0.691207
EG10256,0.700935
EG10257,0.555188
EG10258,0.683603
EG10259,0.471218
EG10260,0.559441
EG10261,0.515306
EG10263,0.504035
EG10264,0.511077
EG10265,0.673203
EG10267,0.495974
EG10269,0.603104
EG10270,0.695364
EG10271,0.674830
EG10272,0.784038
EG10273,0.747592
EG10274,0.696151
EG10275,0.611465
EG10276,0.635556
EG10277,0.633124
EG10278,0.463918
EG10279,0.500457
EG10280,0.654735
EG10281,0.669444
EG10282,0.681481
EG10283,0.682683
EG10284,0.627957
EG10286,0.511828
EG10287,0.465116
EG10289,0.507837
EG10290,0.544271
EG10291,0.478927
EG10292,0.475891
EG10293,0.496207
EG10294,0.524556
EG10295,0.549020
EG10296,0.519403
EG10297,0.479718
EG10298,0.487412
EG10300,0.728341
EG10301,0.488696
EG10302,0.559715
EG10303,0.524458
EG10304,0.546366
EG10305,0.475870
EG10306,0.491324
EG10307,0.434494
EG10308,0.772313
EG10309,0.616915
EG10310,0.567493
EG10311,0.500569
EG10312,0.492462
EG10313,0.504708
EG10315,0.502769
EG10316,0.725146
EG10317,0.888889
EG10318,0.738230
EG10319,0.656304
EG10320,0.512821
EG10321,0.728123
EG10322,0.610753
EG10323,0.668657
EG10324,0.681159
EG10325,0.669323
EG10326,0.704167
EG10327,0.591017
EG10328,0.698962
EG10329,0.528395
EG10330,0.546158
EG10331,0.487075
EG10332,0.671717
EG10333,0.427778
EG10334,0.632479
EG10335,0.842294
EG10336,0.576832
EG10337,0.487753
EG10338,0.626866
EG10339,0.660333
EG10340,0.568012
EG10341,0.608942
EG10342,0.652226
EG10343,0.596315
EG10344,0.648996
EG10345,0.672332
EG10346,0.672021
EG10347,0.795139
EG10349,0.545045
EG10350,0.498943
EG10351,0.485640
EG10353,0.469945
EG10355,0.624113
EG10356,0.650880
EG10357,0.528233
EG10358,0.535613
EG10359,0.787472
EG10360,0.665721
EG10361,0.498048
EG10362,0.692232
EG10363,0.553525
EG10364,0.468992
EG10365,0.487992
EG10366,0.548233
EG10367,0.722892
EG10368,0.560784
EG10369,0.620661
EG10370,0.672029
EG10371,0.800000
EG10372,0.709821
EG10374,0.495697
EG10375,0.629630
EG10376,0.615385
EG10377,0.599721
EG10378,0.547782
EG10379,0.666667
EG10380,0.589052
EG10381,0.551165
EG10382,0.584699
EG10383,0.709220
EG10384,0.666667
EG10385,0.529078
EG10386,0.784471
EG10387,0.617143
EG10388,0.627273
EG10389,0.558783
EG10390,0.667868
EG10391,0.504604
EG10392,0.528571
EG10394,0.593625
EG10395,0.599388
EG10396,0.678487
EG10397,0.515042
EG10398,0.626905
EG10399,0.545961
EG10401,0.571008
EG10402,0.725857
EG10403,0.657700
EG10404,0.635659
EG10405,0.646880
EG10406,0.519071
EG10407,0.685028
EG10408,0.736842
EG10409,0.701754
EG10410,0.652174
EG10411,0.724947
EG10412,0.684405
EG10413,0.538721
EG10414,0.823529
EG10415,0.654088
EG10416,0.804714
EG10417,0.837209
EG10418,0.584457
EG10419,0.679285
EG10420,0.646388
EG10421,0.736196
EG10422,0.668582
EG10423,0.718417
EG10424,0.687371
EG10425,0.638021
EG10426,0.599513
EG10427,0.577566
EG10428,0.668718
EG10429,0.596603
EG10430,0.585695
EG10431,0.596054
EG10432,0.708821
EG10433,0.697124
EG10434,0.721805
EG10435,0.634826
EG10436,0.580952
EG10437,0.546448
EG10438,0.783172
EG10439,0.730594
EG10440,0.786667
EG10441,0.715789
EG10442,0.561798
EG10443,0.539683
EG10444,0.609756
EG10445,0.602996
EG10446,0.633053
EG10447,0.594636
EG10448,0.661519
EG10449,0.680000
EG10450,0.764805
EG10451,0.617647
EG10452,0.563307
EG10453,0.710588
EG10454,0.666667
EG10455,0.901235
EG10456,0.664987
EG10457,0.768116
EG10458,0.638994
EG10459,0.562482
EG10460,0.549104
EG10461,0.729600
EG10462,0.678005
EG10463,0.675088
EG10464,0.631922
EG10465,0.596330
EG10466,0.644689
EG10467,0.732601
EG10469,0.502787
EG10478,0.485380
EG10480,0.494792
EG10482,0.530920
EG10484,0.613975
EG10485,0.542125
EG10486,0.511586
EG10487,0.526212
EG10488,0.458574
EG10489,0.684253
EG10490,0.666667
EG10491,0.678788
EG10492,0.635428
EG10493,0.582524
EG10494,0.648905
EG10495,0.688347
EG10496,0.619125
EG10497,0.707527
EG10499,0.621951
EG10500,0.700290
EG10501,0.477273
EG10502,0.735395
EG10503,0.521253
EG10504,0.885845
EG10505,0.742237
EG10506,0.644567
EG10507,0.470790
EG10508,0.564444
EG10509,0.493369
EG10510,0.704935
EG10511,0.645575
EG10512,0.462824
EG10516,0.525140
EG10517,0.575221
EG10518,0.666667
EG10519,0.602410
EG10520,0.713615
EG10521,0.544283
EG10522,0.714396
EG10523,0.763990
EG10525,0.638966
EG10527,0.500163
EG10528,0.539896
EG10529,0.643333
EG10530,0.742564
EG10531,0.488889
EG10532,0.706930
EG10533,0.633826
EG10534,0.724206
EG10535,0.469799
EG10536,0.607843
EG10537,0.713542
EG10538,0.621359
EG10539,0.759058
EG10540,0.657658
EG10541,0.652582
EG10542,0.710828
EG10543,0.764912
EG10544,0.700422
EG10545,0.730038
EG10546,0.637076
EG10547,0.751515
EG10548,0.638384
EG10549,0.558987
EG10550,0.580741
EG10551,0.544872
EG10552,0.765481
EG10553,0.619236
EG10554,0.560873
EG10555,0.475081
EG10556,0.511785
EG10557,0.487852
EG10558,0.541219
EG10559,0.495114
EG10560,0.547201
EG10561,0.583213
EG10562,0.566888
EG10563,0.463277
EG10564,0.550725
EG10565,0.522314
EG10566,0.654762
EG10567,0.709877
EG10568,0.676654
EG10569,0.697183
EG10570,0.626415
EG10571,0.714859
EG10572,0.560606
EG10573,0.460432
EG10574,0.594203
EG10575,0.475645
EG10576,0.788072
EG10577,0.497050
EG10578,0.528833
EG10579,0.512268
EG10580,0.610909
EG10581,0.625806
EG10582,0.525409
EG10583,0.508418
EG10584,0.592396
EG10585,0.686869
EG10586,0.678466
EG10587,0.611292
EG10588,0.735849
EG10589,0.651082
EG10590,0.612413
EG10591,0.530398
EG10592,0.491782
EG10593,0.788789
EG10594,0.522255
EG10595,0.700315
EG10596,0.672414
EG10597,0.637146
EG10598,0.808989
EG10599,0.630237
EG10600,0.727891
EG10601,0.502252
EG10602,0.522114
EG10603,0.832392
EG10604,0.672207
EG10605,0.595661
EG10606,0.583596
EG10607,0.627134
EG10608,0.710728
EG10609,0.592391
EG10610,0.642127
EG10611,0.632432
EG10612,0.703825
EG10613,0.666667
EG10614,0.621399
EG10615,0.591432
EG10616,0.654482
EG10617,0.501205
EG10618,0.597176
EG10619,0.632791
EG10620,0.577069
EG10621,0.556452
EG10622,0.651950
EG10623,0.661049
EG10624,0.565217
EG10625,0.578454
EG10626,0.528205
EG10627,0.539411
EG10629,0.456456
EG10630,0.747126
EG10631,0.640789
EG10632,0.563969
EG10633,0.769039
EG10634,0.568393
EG10635,0.625578
EG10636,0.622441
EG10637,0.592841
EG10638,0.500000
EG10639,0.492528
EG10641,0.514768
EG10643,0.697389
EG10646,0.524207
EG10648,0.488639
EG10649,0.711111
EG10650,0.759259
EG10651,0.620047
EG10652,0.639246
EG10653,0.514937
EG10654,0.557621
EG10656,0.652330
EG10657,0.586081
EG10658,0.790338
EG10660,0.589676
EG10661,0.739169
EG10662,0.534591
EG10663,0.719807
EG10664,0.531424
EG10665,0.711022
EG10666,0.685714
EG10667,0.787546
EG10668,0.686047
EG10669,0.749280
EG10670,0.710145
EG10671,0.778696
EG10672,0.780556
EG10673,0.758910
EG10674,0.768382
EG10675,0.723127
EG10676,0.763476
EG10677,0.658777
EG10678,0.748259
EG10679,0.566210
EG10680,0.648148
EG10681,0.601307
EG10682,0.617021
EG10683,0.568282
EG10684,0.735632
EG10685,0.502755
EG10686,0.662240
EG10687,0.600106
EG10688,0.698706
EG10689,0.653907
EG10690,0.636624
EG10691,0.498990
EG10692,0.622691
EG10693,0.685792
EG10694,0.607143
EG10695,0.684499
EG10696,0.661309
EG10697,0.660633
EG10698,0.731231
EG10699,0.668744
EG10700,0.707527
EG10701,0.699080
EG10702,0.652121
EG10703,0.692440
EG10704,0.662813
EG10705,0.501961
EG10706,0.593807
EG10707,0.601206
EG10708,0.580973
EG10709,0.680894
EG10710,0.693467
EG10711,0.708333
EG10724,0.570115
EG10725,0.474308
EG10727,0.470339
EG10728,0.527536
EG10729,0.515152
EG10730,0.548772
EG10731,0.812500
EG10732,0.535250
EG10733,0.507716
EG10734,0.651297
EG10735,0.559229
EG10736,0.496124
EG10738,0.659770
EG10739,0.574780
EG10740,0.613036
EG10741,0.623799
EG10742,0.724855
EG10743,0.700375
EG10744,0.682322
EG10745,0.663787
EG10746,0.708288
EG10747,0.497449
EG10748,0.594595
EG10749,0.698329
EG10750,0.618357
EG10751,0.666667
EG10752,0.613181
EG10753,0.515152
EG10754,0.592205
EG10755,0.772128
EG10756,0.613876
EG10757,0.680628
EG10758,0.941414
EG10759,0.610340
EG10760,0.590532
EG10761,0.554017
EG10762,0.642987
EG10763,0.570259
EG10764,0.653968
EG10765,0.496212
EG10766,0.720721
EG10767,0.755981
EG10768,0.684783
EG10769,0.649383
EG10770,0.762071
EG10771,0.581879
EG10772,0.518310
EG10773,0.612286
EG10774,0.717300
EG10775,0.654283
EG10776,0.789238
EG10777,0.364444
EG10778,0.666667
EG10779,0.585586
EG10780,0.577778
EG10781,0.647493
EG10782,0.581369
EG10783,0.713178
EG10784,0.583333
EG10785,0.752137
EG10786,0.587054
EG10787,0.705718
EG10788,0.689922
EG10789,0.692130
EG10790,0.685142
EG10791,0.619048
EG10792,0.666667
EG10793,0.741176
EG10794,0.661397
EG10795,0.625157
EG10796,0.649813
EG10797,0.646091
EG10798,0.732177
EG10799,0.522692
EG10800,0.729045
EG10801,0.588948
EG10802,0.730285
EG10803,0.672211
EG10804,0.813871
EG10805,0.688034
EG10806,0.712512
EG10807,0.662710
EG10808,0.595016
EG10809,0.688347
EG10810,0.661783
EG10811,0.692641
EG10812,0.625584
EG10814,0.486056
EG10815,0.646465
EG10816,0.662526
EG10817,0.652381
EG10818,0.550538
EG10819,0.547835
EG10820,0.506410
EG10821,0.688172
EG10822,0.550175
EG10823,0.666667
EG10824,0.524979
EG10825,0.501633
EG10826,0.560482
EG10827,0.511342
EG10828,0.588454
EG10829,0.574448
EG10830,0.606690
EG10831,0.547533
EG10832,0.480110
EG10833,0.537705
EG10834,0.597360
EG10835,0.629083
EG10836,0.666667
EG10837,0.574679
EG10838,0.700965
EG10839,0.687117
EG10840,0.657609
EG10841,0.602701
EG10842,0.515901
EG10844,0.668246
EG10845,0.846032
EG10846,0.500726
EG10848,0.519313
EG10849,0.490540
EG10850,0.671141
EG10851,0.512821
EG10852,0.555925
EG10853,0.674074
EG10854,0.719927
EG10855,0.584192
EG10856,0.602230
EG10857,0.737151
EG10858,0.586879
EG10859,0.548023
EG10860,0.628205
EG10861,0.680067
EG10862,0.777778
EG10864,0.774468
EG10865,0.686131
EG10866,0.625397
EG10867,0.811881
EG10868,0.674074
EG10869,0.779026
EG10870,0.733333
EG10871,0.751004
EG10872,0.764569
EG10873,0.677596
EG10874,0.722611
EG10875,0.844086
EG10876,0.698851
EG10877,0.686131
EG10878,0.552083
EG10879,0.768362
EG10880,0.712644
EG10881,0.616246
EG10882,0.738739
EG10883,0.798680
EG10884,0.749206
EG10885,0.842105
EG10886,0.590717
EG10887,0.562500
EG10888,0.911111
EG10889,0.901408
EG10890,0.908046
EG10891,0.690476
EG10892,0.709220
EG10893,0.723232
EG10894,0.663192
EG10895,0.687027
EG10896,0.688382
EG10897,0.739181
EG10898,0.619247
EG10899,0.891304
EG10900,0.639188
EG10901,0.760331
EG10902,0.774929
EG10903,0.743961
EG10904,0.662698
EG10905,0.696970
EG10906,0.644444
EG10907,0.860051
EG10908,0.681934
EG10909,0.762821
EG10910,0.758974
EG10911,0.725333
EG10912,0.767507
EG10913,0.758170
EG10914,0.822222
EG10915,0.698795
EG10916,0.525490
EG10917,0.745614
EG10918,0.788530
EG10919,0.840909
EG10920,0.824074
EG10921,0.819277
EG10922,0.679285
EG10923,0.663399
EG10924,0.623145
EG10925,0.616858
EG10926,0.673669
EG10927,0.497617
EG10928,0.571663
EG10929,0.494949
EG10930,0.495238
EG10931,0.659875
EG10932,0.649930
EG10933,0.758974
EG10934,0.718391
EG10935,0.445367
EG10936,0.705839
EG10937,0.807692
EG10938,0.708874
EG10939,0.625000
EG10940,0.660494
EG10941,0.492816
EG10942,0.555014
EG10943,0.614943
EG10944,0.778589
EG10945,0.732714
EG10946,0.637282
EG10947,0.610982
EG10948,0.692580
EG10949,0.521986
EG10950,0.553148
EG10951,0.533333
EG10952,0.502924
EG10953,0.727858
EG10954,0.793814
EG10955,0.666667
EG10956,0.674286
EG10957,0.529032
EG10958,0.530864
EG10959,0.661608
EG10960,0.753529
EG10961,0.564607
EG10962,0.767296
EG10963,0.696655
EG10965,0.730769
EG10966,0.523471
EG10967,0.620290
EG10968,0.645127
EG10969,0.531915
EG10970,0.548387
EG10971,0.528205
EG10973,0.550725
EG10974,0.503876
EG10975,0.696629
EG10976,0.674115
EG10977,0.741784
EG10978,0.694779
EG10979,0.673091
EG10980,0.574713
EG10981,0.815767
EG10982,0.671264
EG10983,0.703980
EG10984,0.580392
EG10985,0.700855
EG10986,0.531915
EG10988,0.518652
EG10989,0.479233
EG10990,0.468687
EG10991,0.534535
EG10993,0.711501
EG10994,0.669903
EG10995,0.671312
EG10996,0.709220
EG10997,0.568498
EG10998,0.760861
EG10999,0.724544
EG11000,0.763015
EG11001,0.744427
EG11002,0.805031
EG11003,0.749808
EG11004,0.518195
EG11005,0.487288
EG11007,0.521327
EG11008,0.765661
EG11009,0.726046
EG11010,0.733045
EG11011,0.648019
EG11012,0.727778
EG11013,0.642032
EG11014,0.606524
EG11015,0.789062
EG11017,0.495878
EG11019,0.563544
EG11020,0.574760
EG11021,0.584022
EG11022,0.597639
EG11023,0.640625
EG11024,0.688971
EG11025,0.728643
EG11026,0.574156
EG11027,0.521303
EG11028,0.598848
EG11029,0.568807
EG11030,0.636816
EG11031,0.684848
EG11032,0.652174
EG11033,0.685446
EG11034,0.572464
EG11035,0.698305
EG11036,0.624473
EG11037,0.643038
EG11038,0.529032
EG11039,0.672014
EG11040,0.577889
EG11041,0.646865
EG11042,0.619974
EG11043,0.638431
EG11044,0.621053
EG11045,0.637795
EG11047,0.558846
EG11048,0.554622
EG11049,0.513002
EG11050,0.596774
EG11051,0.605753
EG11052,0.520293
EG11053,0.501515
EG11055,0.494481
EG11056,0.496454
EG11057,0.471429
EG11058,0.686957
EG11059,0.723866
EG11060,0.629159
EG11061,0.570315
EG11062,0.549951
EG11063,0.579378
EG11064,0.603791
EG11065,0.495868
EG11066,0.538397
EG11067,0.698880
EG11068,0.411890
EG11069,0.639911
EG11070,0.683544
EG11071,0.568562
EG11072,0.631656
EG11073,0.664188
EG11074,0.503401
EG11075,0.487973
EG11078,0.467991
EG11079,0.636943
EG11080,0.782222
EG11081,0.614090
EG11082,0.699454
EG11083,0.607499
EG11084,0.518519
EG11085,0.607219
EG11086,0.612022
EG11087,0.740741
EG11088,0.460131
EG11089,0.706897
EG11090,0.761087
EG11091,0.494779
EG11093,0.458333
EG11094,0.633416
EG11095,0.635739
EG11096,0.870871
EG11097,0.626437
EG11098,0.880658
EG11100,0.806061
EG11102,0.623755
EG11104,0.519584
EG11105,0.516908
EG11107,0.707071
EG11108,0.486275
EG11109,0.531120
EG11110,0.656790
EG11111,0.488889
EG11112,0.547518
EG11113,0.809091
EG11116,0.736942
EG11117,0.609626
EG11118,0.668750
EG11119,0.639847
EG11120,0.530680
EG11121,0.731830
EG11122,0.596296
EG11123,0.653226
EG11124,0.688576
EG11128,0.795107
EG11130,0.615385
EG11131,0.388889
EG11132,0.505995
EG11133,0.670968
EG11134,0.634058
EG11135,0.707165
EG11137,0.699055
