GeneID,GeneLength
EG10001,0.612963
EG10002,0.542029
EG10003,0.619423
EG10004,0.679771
EG10005,0.544651
EG10006,0.498136
EG10007,0.677824
EG10008,0.486409
EG10011,0.674389
EG10012,0.526132
EG10013,0.606198
EG10014,0.545279
EG10015,0.741617
EG10016,0.539559
EG10017,0.679012
EG10018,0.607934
EG10020,0.643777
EG10021,0.585162
EG10022,0.717241
EG10023,0.700375
EG10024,0.650901
EG10025,0.641310
EG10026,0.541163
EG10027,0.590191
EG10028,0.620783
EG10029,0.514554
EG10030,0.756487
EG10031,0.570254
EG10032,0.629457
EG10033,0.507246
EG10034,0.625618
EG10035,0.637500
EG10036,0.498656
EG10037,0.549923
EG10039,0.657045
EG10040,0.592593
EG10041,0.644928
EG10042,0.414035
EG10043,0.558704
EG10044,0.554572
EG10045,0.534907
EG10046,0.580707
EG10047,0.613757
EG10048,0.600237
EG10049,0.443418
EG10050,0.581333
EG10051,0.615942
EG10052,0.532269
EG10054,0.514221
EG10056,0.515856
EG10057,0.539394
EG10058,0.459406
EG10059,0.532928
EG10060,0.607595
EG10061,0.686192
EG10062,0.563115
EG10063,0.563063
EG10064,0.558559
EG10065,0.431841
EG10066,0.555283
EG10067,0.690547
EG10068,0.620536
EG10069,0.664677
EG10070,0.649682
EG10071,0.596309
EG10072,0.587484
EG10073,0.657321
EG10074,0.697888
EG10075,0.705341
EG10076,0.616601
EG10077,0.549451
EG10078,0.556489
EG10079,0.622982
EG10080,0.697230
EG10081,0.727969
EG10082,0.620952
EG10083,0.628319
EG10084,0.627365
EG10085,0.548772
EG10087,0.449060
EG10088,0.630435
EG10089,0.486715
EG10090,0.524272
EG10091,0.608258
EG10092,0.589790
EG10093,0.662309
EG10094,0.572448
EG10095,0.613779
EG10096,0.532326
EG10097,0.621545
EG10098,0.626459
EG10099,0.651961
EG10100,0.838095
EG10101,0.601591
EG10102,0.658333
EG10103,0.700637
EG10104,0.662037
EG10105,0.707865
EG10106,0.587927
EG10107,0.714514
EG10108,0.484076
EG10109,0.645123
EG10110,0.609640
EG10111,0.632653
EG10112,0.580138
EG10113,0.704403
EG10115,0.530351
EG10117,0.649612
EG10118,0.585975
EG10119,0.539683
EG10120,0.672566
EG10121,0.689177
EG10122,0.588846
EG10123,0.602484
EG10124,0.610111
EG10125,0.597484
EG10126,0.590786
EG10127,0.668705
EG10128,0.552000
EG10129,0.539855
EG10130,0.504230
EG10131,0.500931
EG10133,0.500325
EG10134,0.562228
EG10135,0.587213
EG10136,0.635997
EG10137,0.659887
EG10138,0.608466
EG10139,0.573427
EG10140,0.573209
EG10141,0.510670
EG10142,0.592593
EG10143,0.557533
