GeneID,GeneLength
EG10001,0.674074
EG10002,0.428986
EG10003,0.664042
EG10004,0.573301
EG10005,0.654288
EG10006,0.508576
EG10007,0.518828
EG10008,0.502146
EG10011,0.586873
EG10012,0.483159
EG10013,0.553288
EG10014,0.484265
EG10015,0.690335
EG10016,0.474708
EG10017,0.641975
EG10018,0.562597
EG10020,0.646638
EG10021,0.704284
EG10022,0.623755
EG10023,0.560549
EG10024,0.613363
EG10025,0.533545
EG10026,0.516983
EG10027,0.605154
EG10028,0.442645
EG10029,0.461972
EG10030,0.634731
EG10031,0.517937
EG10032,0.567442
EG10033,0.492754
EG10034,0.548081
EG10035,0.590278
EG10036,0.505376
EG10037,0.568356
EG10039,0.581443
EG10040,0.548501
EG10041,0.597826
EG10042,0.463158
EG10043,0.642375
EG10044,0.572271
EG10045,0.615536
EG10046,0.542502
EG10047,0.740741
EG10048,0.533808
EG10049,0.506543
EG10050,0.552000
EG10051,0.554348
EG10052,0.495010
EG10054,0.550626
EG10056,0.518675
EG10057,0.531313
EG10058,0.488449
EG10059,0.502533
EG10060,0.523207
EG10061,0.635983
EG10062,0.596491
EG10063,0.551051
EG10064,0.612613
EG10065,0.517413
EG10066,0.524161
EG10067,0.579104
EG10068,0.625000
EG10069,0.567164
EG10070,0.530786
EG10071,0.546713
EG10072,0.643678
EG10073,0.643302
EG10074,0.596878
EG10075,0.556169
EG10076,0.571805
EG10077,0.590965
EG10078,0.492997
EG10079,0.579297
EG10080,0.498567
EG10081,0.601533
EG10082,0.727619
EG10083,0.610619
EG10084,0.561863
EG10085,0.560000
EG10087,0.621167
EG10088,0.561594
EG10089,0.504831
EG10090,0.501618
EG10091,0.684794
EG10092,0.539339
EG10093,0.601307
EG10094,0.425410
EG10095,0.638831
EG10096,0.518892
EG10097,0.595601
EG10098,0.569390
EG10099,0.634804
EG10100,0.538095
EG10101,0.617498
EG10102,0.608333
EG10103,0.679406
EG10104,0.673611
EG10105,0.621723
EG10106,0.372703
EG10107,0.673046
EG10108,0.484076
EG10109,0.588869
EG10110,0.503734
EG10111,0.568027
EG10112,0.563422
EG10113,0.704403
EG10115,0.560170
EG10117,0.617054
EG10118,0.568684
EG10119,0.579365
EG10120,0.589971
EG10121,0.583550
EG10122,0.570687
EG10123,0.594203
EG10124,0.528706
EG10125,0.742138
EG10126,0.532249
EG10127,0.491335
EG10128,0.610667
EG10129,0.568841
EG10130,0.531303
EG10131,0.508380
EG10133,0.504224
EG10134,0.591819
EG10135,0.502793
EG10136,0.613398
EG10137,0.558192
EG10138,0.537037
EG10139,0.545455
EG10140,0.641745
EG10141,0.467991
EG10142,0.586895
EG10143,0.533808
EG10144,0.509978
EG10145,0.508500
EG10146,0.563868
EG10147,0.495238
EG10148,0.499419
EG10149,0.488095
EG10150,0.487179
EG10151,0.582946
EG10152,0.526912
EG10153,0.555016
EG10154,0.618667
EG10155,0.521084
EG10156,0.541941
EG10157,0.564103
EG10158,0.592949
EG10159,0.580392
EG10160,0.515432
EG10162,0.519329
EG10163,0.577875
EG10164,0.622433
EG10165,0.498039
EG10166,0.647887
EG10167,0.510921
EG10168,0.489929
EG10169,0.527607
EG10170,0.608559
EG10172,0.662900
EG10173,0.571064
EG10174,0.577193
EG10175,0.581741
EG10176,0.509091
EG10177,0.512554
EG10178,0.713080
EG10179,0.649598
EG10180,0.643902
EG10181,0.575758
EG10182,0.592593
EG10183,0.511840
EG10184,0.582564
EG10185,0.471947
EG10186,0.552255
EG10187,0.681265
EG10188,0.589520
EG10189,0.435374
EG10190,0.530064
EG10191,0.526667
EG10192,0.582305
EG10193,0.535088
EG10194,0.509804
EG10195,0.511308
EG10196,0.623377
EG10197,0.501199
EG10200,0.547758
EG10201,0.595710
EG10202,0.524407
EG10203,0.498753
EG10204,0.561529
EG10205,0.666667
EG10206,0.681265
EG10207,0.547879
EG10208,0.514184
EG10209,0.608485
EG10210,0.532751
EG10211,0.618746
EG10212,0.616813
EG10213,0.668493
EG10214,0.592834
EG10215,0.569312
EG10216,0.557576
EG10217,0.596721
EG10218,0.591252
EG10219,0.551776
EG10220,0.619281
EG10221,0.712821
EG10222,0.544444
EG10223,0.642951
EG10224,0.699187
EG10225,0.545455
EG10226,0.534314
EG10228,0.588745
EG10229,0.568273
EG10230,0.614035
EG10231,0.692308
EG10232,0.490798
EG10233,0.530744
EG10234,0.502315
EG10235,0.643875
EG10236,0.475989
EG10237,0.620596
EG10238,0.558714
EG10239,0.548683
EG10240,0.670203
EG10241,0.716745
EG10242,0.584923
EG10243,0.513661
EG10244,0.607407
EG10245,0.701863
EG10246,0.493010
EG10247,0.687664
EG10248,0.547264
EG10249,0.580888
EG10250,0.515695
EG10251,0.587719
EG10252,0.499192
EG10253,0.520000
EG10254,0.424797
EG10255,0.543967
EG10256,0.457944
EG10257,0.578366
EG10258,0.612779
EG10259,0.514056
EG10260,0.538462
EG10261,0.498299
EG10263,0.507759
EG10264,0.492530
EG10265,0.603486
EG10267,0.508857
EG10268,0.493438
EG10269,0.643016
EG10270,0.549669
EG10271,0.560544
EG10272,0.690141
EG10273,0.612717
EG10274,0.556921
EG10275,0.509554
EG10276,0.651852
EG10277,0.675052
EG10278,0.529210
EG10279,0.500457
EG10280,0.665175
EG10281,0.575000
EG10282,0.575926
EG10283,0.524525
EG10284,0.690323
EG10285,0.482309
EG10286,0.490323
EG10287,0.600221
EG10288,0.526527
EG10289,0.480669
EG10290,0.513021
EG10291,0.666667
EG10292,0.496855
EG10293,0.497992
EG10294,0.555904
EG10295,0.551471
EG10296,0.507463
EG10297,0.497354
EG10298,0.525680
EG10299,0.497091
EG10300,0.585903
EG10301,0.488696
EG10302,0.610517
EG10303,0.534544
EG10304,0.558897
EG10305,0.543210
EG10306,0.526941
EG10307,0.411277
EG10308,0.448087
EG10309,0.676617
EG10310,0.438017
EG10311,0.499810
EG10312,0.505863
EG10313,0.508475
EG10315,0.549280
EG10316,0.578947
EG10317,0.525253
EG10318,0.696798
EG10319,0.459413
EG10320,0.564103
EG10321,0.582498
EG10322,0.584946
EG10323,0.587065
EG10324,0.695652
EG10325,0.602922
EG10326,0.645833
EG10327,0.537431
EG10328,0.652826
EG10329,0.590123
EG10330,0.624655
EG10331,0.555102
EG10332,0.707071
EG10333,0.544444
EG10334,0.547009
EG10335,0.792115
EG10336,0.542553
EG10337,0.472843
EG10338,0.606965
EG10339,0.535234
EG10340,0.511211
EG10341,0.508206
EG10342,0.594465
EG10343,0.542714
EG10344,0.568675
EG10345,0.589235
EG10346,0.586345
EG10347,0.569444
EG10349,0.514640
EG10350,0.459479
EG10351,0.503046
EG10353,0.519126
EG10355,0.548463
EG10356,0.564663
EG10357,0.533090
EG10358,0.522792
EG10359,0.680089
EG10360,0.585343
EG10361,0.560500
EG10362,0.635202
EG10363,0.565709
EG10364,0.525194
EG10365,0.501441
EG10366,0.582617
EG10367,0.704819
EG10368,0.498039
EG10369,0.598076
EG10370,0.571939
EG10371,0.553846
EG10372,0.498512
EG10374,0.548480
EG10375,0.522751
EG10376,0.560897
EG10377,0.587169
EG10378,0.550526
EG10379,0.578704
EG10380,0.641340
EG10381,0.493414
EG10382,0.460109
EG10383,0.609929
EG10384,0.778761
EG10385,0.550355
EG10386,0.613119
EG10387,0.550476
EG10388,0.557576
EG10389,0.511757
EG10390,0.547748
EG10391,0.514426
EG10392,0.525397
EG10393,0.527288
EG10394,0.650730
EG10395,0.697248
EG10396,0.631206
EG10397,0.517449
EG10398,0.489066
EG10399,0.519963
EG10401,0.534216
EG10402,0.546729
EG10403,0.607487
EG10404,0.545455
EG10405,0.608828
EG10406,0.548922
EG10407,0.542373
EG10408,0.486443
EG10409,0.546053
EG10410,0.630918
EG10411,0.602701
EG10412,0.542498
EG10413,0.486195
EG10414,0.557734
EG10415,0.603774
EG10416,0.616162
EG10417,0.705426
EG10418,0.620424
EG10419,0.609884
EG10420,0.515843
EG10421,0.556237
EG10422,0.676245
EG10423,0.586758
EG10424,0.596273
EG10425,0.507812
EG10426,0.553771
EG10427,0.523469
EG10428,0.533333
EG10429,0.547771
EG10430,0.418354
EG10431,0.531672
EG10432,0.640125
EG10433,0.629442
EG10434,0.685046
EG10435,0.565174
EG10436,0.615873
EG10437,0.602654
EG10438,0.796117
EG10439,0.876712
EG10440,0.746667
EG10441,0.526316
EG10442,0.764045
EG10443,0.580499
EG10444,0.739837
EG10445,0.610487
EG10446,0.612512
EG10447,0.527203
EG10448,0.594595
EG10449,0.671111
EG10450,0.524535
EG10451,0.503268
