GeneID,GeneLength
EG10001,0.659259
EG10002,0.617391
EG10003,0.480315
EG10004,0.671581
EG10005,0.663130
EG10006,0.532438
EG10007,0.454672
EG10008,0.505007
EG10011,0.785071
EG10012,0.679443
EG10013,0.680272
EG10014,0.504817
EG10015,0.822485
EG10016,0.508431
EG10017,0.648148
EG10018,0.630603
EG10020,0.675250
EG10021,0.620690
EG10022,0.625287
EG10023,0.750312
EG10024,0.735736
EG10025,0.665610
EG10026,0.472078
EG10027,0.763092
EG10028,0.515520
EG10029,0.482629
EG10030,0.624750
EG10031,0.688341
EG10032,0.660465
EG10033,0.631240
EG10034,0.660585
EG10035,0.745833
EG10036,0.556452
EG10037,0.460829
EG10039,0.657045
EG10040,0.650794
EG10041,0.637681
EG10042,0.584795
EG10043,0.542510
EG10044,0.796460
EG10045,0.572271
EG10046,0.580707
EG10047,0.608466
EG10048,0.638197
EG10049,0.540416
EG10050,0.504000
EG10051,0.681159
EG10052,0.484365
EG10054,0.493743
EG10056,0.524313
EG10057,0.505051
EG10058,0.485809
EG10059,0.528875
EG10060,0.514768
EG10061,0.741980
EG10062,0.670946
EG10063,0.561562
EG10064,0.592021
EG10065,0.539303
EG10066,0.661753
EG10067,0.600995
EG10068,0.770833
EG10069,0.604975
EG10070,0.738854
EG10071,0.704729
EG10072,0.756066
EG10073,0.669782
EG10074,0.606061
EG10075,0.631676
EG10076,0.740448
EG10077,0.656899
EG10078,0.647993
EG10079,0.708452
EG10080,0.617001
EG10081,0.651341
EG10082,0.693333
EG10083,0.560472
EG10084,0.671033
EG10085,0.540351
EG10087,0.605341
EG10088,0.731884
EG10089,0.528986
EG10090,0.491909
EG10091,0.801611
EG10092,0.669069
EG10093,0.644880
EG10094,0.699500
EG10095,0.610995
EG10096,0.693535
EG10097,0.675691
EG10098,0.721141
EG10099,0.759804
EG10100,0.685714
EG10101,0.721620
EG10102,0.858333
EG10103,0.726115
EG10104,0.717593
EG10105,0.636704
EG10106,0.514436
EG10107,0.760766
EG10108,0.709130
EG10109,0.610413
EG10110,0.522743
EG10111,0.605442
EG10112,0.560472
EG10113,0.830189
EG10115,0.565495
EG10117,0.697674
EG10118,0.674352
EG10119,0.634921
EG10120,0.637168
EG10121,0.715152
EG10122,0.604410
EG10123,0.652174
EG10124,0.586118
EG10125,0.748428
EG10126,0.655827
EG10127,0.560652
EG10128,0.549333
EG10129,0.663043
EG10130,0.717428
EG10131,0.510242
EG10133,0.504224
EG10134,0.724108
EG10135,0.664804
EG10136,0.613398
EG10137,0.734463
EG10138,0.613757
EG10139,0.701632
EG10140,0.573209
EG10141,0.506255
EG10142,0.586895
EG10143,0.531435
EG10144,0.502587
EG10145,0.493718
EG10146,0.544529
EG10147,0.540952
EG10148,0.541231
EG10149,0.587302
EG10150,0.600000
EG10151,0.573643
EG10152,0.553352
EG10153,0.690939
EG10154,0.610667
EG10155,0.527108
EG10156,0.702679
EG10157,0.727273
EG10158,0.660256
EG10159,0.649412
EG10160,0.643004
EG10162,0.472648
EG10163,0.589520
EG10164,0.669826
EG10165,0.600000
EG10166,0.610329
EG10167,0.568851
EG10168,0.653671
EG10169,0.822086
EG10170,0.645465
EG10172,0.632768
EG10173,0.613129
EG10174,0.608772
EG10175,0.496815
EG10176,0.587879
EG10177,0.500433
EG10178,0.742616
EG10179,0.782129
EG10180,0.712195
EG10181,0.636364
EG10182,0.783389
EG10183,0.526412
EG10184,0.664615
EG10185,0.521452
EG10186,0.539054
EG10187,0.725061
EG10188,0.666667
EG10189,0.563265
EG10190,0.537069
EG10191,0.558889
EG10192,0.818930
EG10193,0.728070
EG10194,0.530812
EG10195,0.536873
EG10196,0.694084
EG10197,0.561151
EG10200,0.664717
EG10201,0.768977
EG10202,0.587169
EG10203,0.616791
EG10204,0.669056
EG10205,0.734926
EG10206,0.756691
EG10207,0.695758
EG10208,0.645390
EG10209,0.630303
EG10210,0.660844
EG10211,0.514447
EG10212,0.678397
EG10213,0.630137
EG10214,0.699240
EG10215,0.702646
EG10216,0.648485
EG10217,0.671038
EG10218,0.588235
EG10219,0.563870
EG10220,0.544118
EG10221,0.764103
EG10222,0.758333
EG10223,0.743083
EG10224,0.758808
EG10225,0.637681
EG10226,0.666667
EG10228,0.562771
EG10229,0.690763
EG10230,0.710526
EG10231,0.763403
EG10232,0.488344
EG10233,0.521036
EG10234,0.495370
EG10235,0.679487
EG10236,0.694915
EG10237,0.691057
EG10238,0.582831
EG10239,0.648339
EG10240,0.755084
EG10241,0.747001
EG10242,0.692098
EG10243,0.770492
EG10244,0.622222
EG10245,0.623188
EG10246,0.669610
EG10247,0.671916
EG10248,0.664179
EG10249,0.600451
EG10250,0.512706
EG10251,0.688596
EG10252,0.508244
EG10253,0.542222
EG10254,0.532520
EG10255,0.646217
EG10256,0.747664
EG10257,0.580574
EG10258,0.692841
EG10259,0.471218
EG10260,0.566434
EG10261,0.496599
EG10263,0.487896
EG10264,0.505925
EG10265,0.697168
EG10267,0.512721
EG10268,0.517060
EG10269,0.634146
EG10270,0.708609
EG10271,0.680272
EG10272,0.760563
EG10273,0.759152
EG10274,0.681409
EG10275,0.560510
EG10276,0.650370
EG10277,0.616352
EG10278,0.510309
EG10279,0.483105
EG10280,0.720358
EG10281,0.680556
EG10282,0.692593
EG10283,0.722723
EG10284,0.655914
EG10285,0.500931
EG10286,0.532473
EG10287,0.522702
EG10288,0.528529
EG10289,0.505747
EG10290,0.541667
EG10291,0.421456
EG10292,0.484277
EG10293,0.497992
EG10294,0.532915
EG10295,0.477941
EG10296,0.553234
EG10297,0.506173
EG10298,0.569990
EG10299,0.505403
EG10300,0.712188
EG10301,0.472342
EG10302,0.612299
EG10303,0.509329
EG10304,0.581454
EG10305,0.424242
EG10306,0.497717
EG10307,0.467662
EG10308,0.775956
EG10309,0.716418
EG10310,0.377410
EG10311,0.491468
EG10312,0.472362
EG10313,0.516008
EG10315,0.522702
EG10316,0.711501
EG10317,0.929293
EG10318,0.745763
EG10319,0.677029
EG10320,0.700855
EG10321,0.741483
EG10322,0.584946
EG10323,0.567164
EG10324,0.695652
EG10325,0.648074
EG10326,0.683333
EG10327,0.635146
EG10328,0.705882
EG10329,0.607407
EG10330,0.594804
EG10331,0.617687
EG10332,0.717172
EG10333,0.733333
EG10334,0.655271
EG10335,0.752688
EG10336,0.611111
EG10337,0.562300
EG10338,0.622886
EG10339,0.665083
EG10340,0.684604
EG10341,0.638370
EG10342,0.697954
EG10343,0.763819
EG10344,0.663454
EG10345,0.711992
EG10346,0.688086
EG10347,0.760417
EG10349,0.512387
EG10350,0.484848
EG10351,0.527415
EG10353,0.469945
EG10355,0.609929
EG10356,0.663024
EG10357,0.512447
EG10358,0.549858
EG10359,0.756152
EG10360,0.664775
EG10361,0.540203
EG10362,0.717797
EG10363,0.597041
EG10364,0.503876
EG10365,0.509126
EG10366,0.624642
EG10367,0.714859
EG10368,0.580392
EG10369,0.651610
EG10370,0.645219
EG10371,0.789744
EG10372,0.709821
EG10374,0.508319
EG10375,0.673016
EG10376,0.605769
EG10377,0.634589
EG10378,0.544124
EG10379,0.685185
EG10380,0.633987
EG10381,0.588652
EG10382,0.577049
EG10383,0.692199
EG10384,0.684366
EG10385,0.558865
EG10386,0.779116
EG10387,0.630476
EG10388,0.657576
EG10389,0.528354
EG10390,0.666667
EG10391,0.487416
EG10392,0.536508
EG10393,0.503778
EG10394,0.614874
EG10395,0.617737
EG10396,0.730496
EG10397,0.630566
EG10398,0.617628
EG10399,0.610956
EG10401,0.576895
EG10402,0.750779
EG10403,0.677875
EG10404,0.676533
EG10405,0.662100
EG10406,0.628524
EG10407,0.662429
EG10408,0.749601
EG10409,0.721491
EG10410,0.646377
EG10411,0.730633
EG10412,0.724316
EG10413,0.560269
EG10414,0.775599
EG10415,0.654088
EG10416,0.838384
EG10417,0.821705
EG10418,0.590880
EG10419,0.685594
EG10420,0.707224
EG10421,0.717110
EG10422,0.733716
EG10423,0.711568
EG10424,0.762733
EG10425,0.763021
EG10426,0.620925
EG10427,0.553699
EG10428,0.678974
EG10429,0.615711
EG10430,0.561404
EG10431,0.712357
EG10432,0.704137
EG10433,0.766497
EG10434,0.726817
EG10435,0.606965
EG10436,0.598413
EG10437,0.665105
EG10438,0.822006
EG10439,0.739726
EG10440,0.720000
EG10441,0.771930
EG10442,0.471910
EG10443,0.607710
EG10444,0.661247
EG10445,0.625468
EG10446,0.636788
EG10447,0.651341
EG10448,0.777349
EG10449,0.717778
EG10450,0.724196
EG10451,0.562092
EG10452,0.669251
EG10453,0.715294
EG10454,0.580566
EG10455,0.909465
EG10456,0.638119
EG10457,0.763285
EG10458,0.666667
EG10459,0.563621
EG10460,0.673835
EG10461,0.768000
EG10462,0.646259
EG10463,0.694737
EG10464,0.694897
EG10465,0.685015
EG10466,0.659341
EG10467,0.739927
EG10469,0.512821
EG10471,0.476190
EG10476,0.511221
EG10477,0.521645
EG10478,0.493567
EG10480,0.523438
EG10481,0.437956
EG10482,0.520362
EG10483,0.472934
EG10484,0.542955
EG10485,0.593407
EG10486,0.477718
EG10487,0.549951
EG10488,0.506744
EG10489,0.695444
EG10490,0.628635
EG10491,0.669091
EG10492,0.647497
EG10493,0.601942
EG10494,0.651273
EG10495,0.674797
EG10496,0.587790
EG10497,0.705376
EG10499,0.674797
EG10500,0.714203
EG10501,0.477273
EG10502,0.769759
EG10503,0.559284
EG10504,0.904110
EG10505,0.730266
EG10506,0.648250
EG10507,0.474227
EG10508,0.580000
EG10509,0.475685
EG10510,0.712991
EG10511,0.696928
EG10512,0.538012
EG10514,0.506589
EG10516,0.586965
EG10517,0.654867
EG10518,0.683041
EG10519,0.637216
EG10520,0.730829
EG10521,0.591519
EG10522,0.691301
EG10523,0.742092
